Date,Close,High,Low,Open,Volume,MA_5,MA_10,MA_20,Vol_MA_5,Vol_MA_20
2025-06-12,1034.0050048828125,1048.8471819863937,1034.0050048828125,1043.8997896185333,25221606,1016.7156982421875,986.3257568359375,976.7962280273438,28524471.8,26714020.3
2025-06-13,1019.1630249023438,1029.057811551881,1014.2156315775752,1029.057811551881,28393455,1024.4740600585938,992.9637756347656,978.8343536376954,31469101.4,26900579.55
2025-06-16,1014.215576171875,1019.162969226372,1004.3207900628812,1019.162969226372,28580673,1029.2723510742187,1001.176171875,980.3787811279296,32850374.4,27485680.7
2025-06-17,1034.0050048828125,1038.952397250673,1024.110220147092,1029.057612514952,26517379,1030.1461303710937,1010.973388671875,983.6023895263672,29178322.2,27816242.7
2025-06-18,1043.89990234375,1043.89990234375,1019.1629378332344,1029.0577236374406,37931721,1029.0577026367187,1017.8189025878906,987.6163269042969,29328966.8,28667935.9
2025-06-19,1024.1104736328125,1034.005260817671,1019.1630800403834,1034.005260817671,24002557,1027.0787963867188,1021.8972473144531,990.0496124267578,29085157.0,28555625.9
2025-06-20,1043.89990234375,1043.89990234375,1014.2155449311316,1019.1629378332344,57831332,1032.026171875,1028.2501159667968,993.8664916992187,34972732.4,30509815.25
2025-06-23,1009.2681884765624,1019.1629746380976,1004.320795395795,1014.21558155733,32143872,1031.0366943359375,1030.1545227050779,995.8532592773438,35685372.2,31006357.35
2025-06-24,1038.952392578125,1038.952392578125,1029.0576078869049,1034.005000232515,28163537,1032.026171875,1031.0861511230469,999.7183532714844,36014603.8,31448081.6
2025-06-25,1058.7420654296875,1058.7420654296875,1043.8998869423556,1048.8472797714662,38783736,1034.9946044921876,1032.0261535644531,1005.1148468017578,36185006.8,32069502.65
2025-06-26,1063.689453125,1068.6368459302323,1053.794667514535,1063.689453125,36056692,1042.910400390625,1034.9945983886719,1010.6601776123047,38595833.8,32548760.6
2025-06-27,1068.636962890625,1068.636962890625,1048.8473895037616,1058.7421761971932,32549027,1047.8578125,1039.9419921875,1016.4528839111329,33539372.8,31746082.45
2025-06-30,1048.8472900390625,1068.6368615492336,1048.8472900390625,1063.6894686716907,32413717,1055.7736328125,1043.4051635742187,1022.2906677246094,33593341.8,31682942.75
2025-07-01,1073.5843505859375,1083.4791372272823,1063.6895639445925,1068.636957265265,44299887,1062.7000244140625,1047.3630981445312,1029.1682434082031,36820611.8,32596897.75
