K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
09.實體綠K(大陰線),13.<-10%,2.5~10%,36.31,38.55,42.46,41.06,43.58,359
04.十字線,04.4~6%,2.5~10%,41.74,39.13,38.55,40.58,40.87,345
05.實體紅K(大陽線),10.-6~-4%,2.5~10%,47.49,46.61,46.02,48.22,50.89,339
12.長上影線綠K,10.-6~-4%,3.10~15%,49.85,49.25,46.83,47.13,46.22,333
11.綠K,10.-6~-4%,3.10~15%,45.06,49.38,50.0,50.0,47.84,325
11.綠K,07.0%,2.5~10%,43.34,47.1,46.76,47.44,47.44,293
09.實體綠K(大陰線),12.-10~-8%,4.>15%,40.07,37.67,41.78,46.23,46.58,293
06.長下影線紅K,05.2~4%,3.10~15%,36.9,41.72,43.94,40.48,40.28,290
10.長下影線綠K,03.6~8%,1.<5%,44.29,43.25,51.56,47.4,48.1,289
09.實體綠K(大陰線),13.<-10%,1.<5%,61.73,59.57,60.65,64.62,61.73,277
12.長上影線綠K,08.-2~0%,3.10~15%,43.22,38.1,42.49,42.12,44.69,276
09.實體綠K(大陰線),01.>10%,1.<5%,31.88,39.13,33.33,34.42,34.42,276
10.長下影線綠K,06.0~2%,3.10~15%,42.18,43.64,41.82,40.73,39.64,275
11.綠K,11.-8~-6%,2.5~10%,53.45,53.82,50.37,55.88,52.21,275
08.長上影線紅K,06.0~2%,3.10~15%,42.11,48.12,44.36,40.91,41.29,266
12.長上影線綠K,12.-10~-8%,1.<5%,47.91,54.75,56.27,59.32,58.4,263
09.實體綠K(大陰線),13.<-10%,3.10~15%,36.82,37.98,36.43,39.53,37.21,258
02.T字線,07.0%,2.5~10%,33.98,39.84,38.28,41.02,41.8,256
08.長上影線紅K,08.-2~0%,3.10~15%,45.7,46.09,46.46,51.18,49.8,256
11.綠K,09.-4~-2%,3.10~15%,48.63,45.88,49.02,48.24,45.1,255
07.紅K,07.0%,2.5~10%,40.16,44.49,47.43,44.66,47.83,254
06.長下影線紅K,02.8~10%,2.5~10%,55.24,57.66,58.06,57.26,55.65,248
06.長下影線紅K,10.-6~-4%,1.<5%,48.37,47.97,48.78,51.22,53.25,246
03.倒T字線,10.-6~-4%,2.5~10%,55.74,59.43,60.25,57.38,60.25,244
06.長下影線紅K,04.4~6%,3.10~15%,40.33,34.98,37.04,36.63,35.12,243
02.T字線,03.6~8%,2.5~10%,56.3,57.98,53.36,50.0,45.38,238
12.長上影線綠K,11.-8~-6%,3.10~15%,45.92,49.79,45.06,48.93,47.64,233
12.長上影線綠K,04.4~6%,1.<5%,47.16,48.03,43.67,44.98,44.54,229
07.紅K,09.-4~-2%,2.5~10%,47.16,53.28,57.46,55.7,52.63,229
03.倒T字線,12.-10~-8%,1.<5%,43.05,51.57,54.71,57.4,59.64,223
03.倒T字線,09.-4~-2%,2.5~10%,53.81,54.71,52.91,52.02,50.67,223
06.長下影線紅K,06.0~2%,3.10~15%,46.15,47.96,48.18,47.73,47.95,221
05.實體紅K(大陽線),01.>10%,3.10~15%,46.36,43.64,46.82,45.21,46.08,220
08.長上影線紅K,09.-4~-2%,3.10~15%,49.76,49.28,48.33,47.37,46.41,209
08.長上影線紅K,05.2~4%,3.10~15%,38.73,38.24,38.73,38.73,41.09,205
09.實體綠K(大陰線),02.8~10%,1.<5%,31.44,36.08,32.99,34.02,34.02,194
04.十字線,11.-8~-6%,2.5~10%,48.13,48.13,46.52,49.73,49.73,187
07.紅K,03.6~8%,2.5~10%,44.57,50.54,56.52,60.66,57.92,184
09.實體綠K(大陰線),04.4~6%,2.5~10%,41.9,41.01,42.13,38.76,41.01,179
05.實體紅K(大陽線),08.-2~0%,3.10~15%,48.88,47.75,53.37,57.87,53.37,178
08.長上影線紅K,03.6~8%,1.<5%,38.82,48.24,50.0,51.18,47.65,170
10.長下影線綠K,10.-6~-4%,3.10~15%,45.12,44.51,45.73,45.73,41.1,164
08.長上影線紅K,10.-6~-4%,3.10~15%,60.74,55.83,54.6,57.06,53.99,163
10.長下影線綠K,05.2~4%,3.10~15%,29.19,24.84,27.95,25.47,27.33,161
02.T字線,05.2~4%,2.5~10%,32.69,37.18,34.62,37.18,40.38,156
06.長下影線紅K,01.>10%,1.<5%,49.35,45.45,47.4,51.95,52.94,154
03.倒T字線,08.-2~0%,2.5~10%,52.94,48.37,50.33,45.75,54.61,153
10.長下影線綠K,03.6~8%,2.5~10%,37.91,39.22,41.18,39.87,39.22,153
03.倒T字線,07.0%,2.5~10%,47.37,51.97,53.29,55.92,54.61,152
08.長上影線紅K,01.>10%,1.<5%,38.26,42.28,44.97,43.62,41.61,149
05.實體紅K(大陽線),12.-10~-8%,1.<5%,52.03,54.73,52.03,56.08,56.08,148
