K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
08.長上影線紅K,06.0~2%,3.10~15%,47.22,58.33,55.56,52.78,52.78,36
05.實體紅K(大陽線),07.0%,3.10~15%,47.22,47.22,47.22,47.22,55.56,36
11.綠K,11.-8~-6%,2.5~10%,52.78,52.78,50.0,69.44,58.33,36
09.實體綠K(大陰線),12.-10~-8%,4.>15%,48.48,30.3,36.36,39.39,39.39,34
10.長下影線綠K,11.-8~-6%,1.<5%,67.65,70.59,61.76,52.94,52.94,34
12.長上影線綠K,08.-2~0%,3.10~15%,45.45,42.42,39.39,39.39,42.42,34
05.實體紅K(大陽線),01.>10%,4.>15%,30.3,24.24,24.24,12.12,18.18,33
03.倒T字線,04.4~6%,1.<5%,46.88,53.12,53.12,62.5,59.38,32
06.長下影線紅K,02.8~10%,2.5~10%,50.0,58.06,67.74,58.06,64.52,32
10.長下影線綠K,07.0%,3.10~15%,31.25,34.38,46.88,46.88,43.75,32
06.長下影線紅K,10.-6~-4%,2.5~10%,58.06,67.74,64.52,58.06,54.84,31
04.十字線,11.-8~-6%,2.5~10%,45.16,54.84,51.61,54.84,51.61,31
06.長下影線紅K,03.6~8%,3.10~15%,51.61,38.71,38.71,38.71,29.03,31
02.T字線,01.>10%,1.<5%,67.74,61.29,51.61,51.61,61.29,31
12.長上影線綠K,13.<-10%,1.<5%,67.74,74.19,64.52,67.74,70.97,31
08.長上影線紅K,03.6~8%,1.<5%,25.81,35.48,35.48,32.26,29.03,31
08.長上影線紅K,12.-10~-8%,2.5~10%,41.94,38.71,51.61,51.61,41.94,31
05.實體紅K(大陽線),02.8~10%,4.>15%,32.26,41.94,35.48,32.26,29.03,31
04.十字線,01.>10%,1.<5%,40.0,56.67,53.33,70.0,56.67,30
09.實體綠K(大陰線),01.>10%,2.5~10%,46.67,56.67,40.0,36.67,30.0,30
09.實體綠K(大陰線),11.-8~-6%,4.>15%,56.67,46.67,40.0,53.33,53.33,30
08.長上影線紅K,12.-10~-8%,1.<5%,57.14,67.86,67.86,60.71,57.14,28
02.T字線,03.6~8%,3.10~15%,40.74,33.33,40.74,55.56,37.04,27
03.倒T字線,13.<-10%,1.<5%,44.44,55.56,59.26,62.96,66.67,27
05.實體紅K(大陽線),11.-8~-6%,2.5~10%,42.31,50.0,46.15,38.46,44.0,26
06.長下影線紅K,05.2~4%,3.10~15%,46.15,53.85,42.31,38.46,38.46,26
06.長下影線紅K,06.0~2%,3.10~15%,32.0,40.0,44.0,56.0,56.0,25
11.綠K,05.2~4%,2.5~10%,60.0,48.0,44.0,48.0,52.0,25
12.長上影線綠K,13.<-10%,2.5~10%,40.0,56.0,56.0,64.0,68.0,25
03.倒T字線,06.0~2%,2.5~10%,48.0,44.0,44.0,44.0,48.0,25
09.實體綠K(大陰線),07.0%,3.10~15%,36.0,36.0,32.0,24.0,32.0,25
10.長下影線綠K,11.-8~-6%,2.5~10%,64.0,66.67,54.17,54.17,58.33,25
11.綠K,09.-4~-2%,3.10~15%,37.5,62.5,66.67,62.5,58.33,24
04.十字線,11.-8~-6%,1.<5%,45.83,45.83,37.5,41.67,29.17,24
12.長上影線綠K,03.6~8%,1.<5%,37.5,33.33,29.17,29.17,33.33,24
04.十字線,03.6~8%,1.<5%,39.13,52.17,39.13,39.13,47.83,23
12.長上影線綠K,02.8~10%,1.<5%,34.78,30.43,39.13,34.78,30.43,23
10.長下影線綠K,12.-10~-8%,1.<5%,52.17,65.22,65.22,60.87,47.83,23
03.倒T字線,12.-10~-8%,2.5~10%,54.55,54.55,50.0,54.55,68.18,22
10.長下影線綠K,02.8~10%,1.<5%,42.86,47.62,42.86,52.38,61.9,21
09.實體綠K(大陰線),03.6~8%,2.5~10%,20.0,40.0,40.0,45.0,40.0,20
10.長下影線綠K,10.-6~-4%,3.10~15%,45.0,55.0,55.0,50.0,50.0,20
08.長上影線紅K,02.8~10%,1.<5%,26.32,21.05,31.58,42.11,52.63,19
11.綠K,11.-8~-6%,1.<5%,36.84,42.11,42.11,47.37,57.89,19
11.綠K,04.4~6%,1.<5%,36.84,52.63,52.63,57.89,52.63,19
09.實體綠K(大陰線),13.<-10%,4.>15%,68.42,63.16,47.37,47.37,57.89,19
08.長上影線紅K,07.0%,3.10~15%,66.67,50.0,50.0,38.89,50.0,18
