K線型態,漲跌幅等級,振幅等級,T+1,T+2,T+3,T+4,T+5,出現次數
05.實體紅K(大陽線),11.-8~-6%,1.<5%,43.56,47.63,52.23,51.86,52.75,675
12.長上影線綠K,04.4~6%,1.<5%,41.86,41.77,43.9,44.51,45.19,657
12.長上影線綠K,10.-6~-4%,3.10~15%,51.81,50.55,47.71,51.18,51.34,640
06.長下影線紅K,05.2~4%,3.10~15%,34.12,35.64,37.58,37.48,37.07,639
05.實體紅K(大陽線),10.-6~-4%,2.5~10%,40.73,47.19,49.67,49.83,51.99,604
06.長下影線紅K,04.4~6%,3.10~15%,36.41,35.4,35.13,36.13,35.97,597
11.綠K,10.-6~-4%,3.10~15%,50.51,52.53,52.86,54.71,53.54,595
10.長下影線綠K,06.0~2%,3.10~15%,38.01,40.07,40.58,41.61,41.68,584
03.倒T字線,05.2~4%,1.<5%,43.57,43.91,43.64,44.67,44.67,583
09.實體綠K(大陰線),03.6~8%,1.<5%,31.99,36.03,36.91,37.26,37.96,569
07.紅K,04.4~6%,3.10~15%,39.04,41.53,39.75,38.57,38.57,563
09.實體綠K(大陰線),11.-8~-6%,4.>15%,54.04,49.37,50.09,46.67,49.01,558
07.紅K,09.-4~-2%,1.<5%,45.24,45.42,48.65,50.27,52.42,557
11.綠K,09.-4~-2%,3.10~15%,47.99,47.07,47.44,47.16,48.07,546
09.實體綠K(大陰線),13.<-10%,3.10~15%,50.28,46.57,47.5,51.21,50.65,541
05.實體紅K(大陽線),01.>10%,4.>15%,42.88,37.15,35.49,36.6,35.56,541
02.T字線,02.8~10%,2.5~10%,48.98,43.87,43.68,43.68,44.88,539
09.實體綠K(大陰線),13.<-10%,1.<5%,67.53,70.72,74.1,75.7,74.9,502
08.長上影線紅K,03.6~8%,1.<5%,42.04,45.51,45.92,47.14,48.98,491
06.長下影線紅K,03.6~8%,3.10~15%,48.74,46.44,40.04,42.02,40.3,479
10.長下影線綠K,05.2~4%,3.10~15%,32.63,35.79,38.11,38.95,39.79,475
11.綠K,05.2~4%,2.5~10%,39.87,44.49,42.33,38.74,39.61,464
06.長下影線紅K,10.-6~-4%,1.<5%,48.06,45.47,48.28,52.16,51.51,464
12.長上影線綠K,04.4~6%,2.5~10%,41.77,41.7,46.94,46.94,45.41,462
12.長上影線綠K,11.-8~-6%,3.10~15%,43.65,44.8,54.27,58.56,57.64,433
11.綠K,11.-8~-6%,2.5~10%,51.18,53.55,52.03,54.42,55.13,423
07.紅K,08.-2~0%,2.5~10%,43.84,43.13,47.87,49.76,46.45,422
05.實體紅K(大陽線),02.8~10%,4.>15%,43.03,39.42,43.03,41.35,42.13,417
06.長下影線紅K,06.0~2%,3.10~15%,46.51,46.27,47.94,47.22,50.61,415
11.綠K,07.0%,2.5~10%,39.07,44.47,42.75,43.73,43.49,407
01.一字線,01.>10%,1.<5%,70.12,60.0,59.65,56.08,55.09,405
08.長上影線紅K,12.-10~-8%,1.<5%,41.84,40.92,59.34,58.57,62.92,393
04.十字線,11.-8~-6%,2.5~10%,45.5,52.12,49.21,49.21,51.06,378
09.實體綠K(大陰線),10.-6~-4%,4.>15%,49.21,45.89,45.09,45.89,48.01,378
08.長上影線紅K,04.4~6%,3.10~15%,47.15,42.01,42.01,38.48,39.84,372
08.長上影線紅K,08.-2~0%,3.10~15%,48.9,49.73,47.51,49.45,50.69,364
04.十字線,01.>10%,3.10~15%,46.52,44.01,43.45,41.5,42.9,359
09.實體綠K(大陰線),13.<-10%,4.>15%,56.94,50.0,58.09,60.12,59.54,346
10.長下影線綠K,11.-8~-6%,2.5~10%,49.42,51.16,48.26,49.42,52.91,346
10.長下影線綠K,10.-6~-4%,3.10~15%,55.1,51.02,56.43,59.36,55.13,343
